"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","season"
"A.J. Dillon","RB","135.2","","4.53","348","33.5","2.3","2020","2022"
"Aaron Green","RB","115.3","10.85","4.61","187","28.3","","2016","2022"
"Aaron Jones","RB","127.3","11.02","4.56","470","30.7","5.39","2017","2022"
"Aaron Ripkowski","RB","112.6","11.92","4.75","46","32.5","6.3","2015","2022"
"Akeem Hunt","RB","124.8","10.78","4.44","271","27.1","","2015","2022"
"Alec Ingold","RB","115.8","11.67","4.89","101","31.9","","2019","2022"
"Alex Armah","RB","119.7","11.29","4.75","459","32.7","6.08","2017","2022"
"Alex Collins","RB","105","","4.59","299","31.1","5.34","2016","2022"
"Alexander Mattison","RB","123","11.42","4.67","287","30.8","3.38","2019","2022"
"Alfred Morris","RB","118.9","11.2","4.67","500","31.4","6.03","2012","2022"
"Alonzo Harris","RB","124.7","11.69","4.71","225","29","","2015","2022"
"Alvin Kamara","RB","132.7","11.59","4.56","347","30.7","3.03","2017","2022"
"Ameer Abdullah","RB","137.3","10.74","4.6","346","30.3","2.22","2015","2022"
"Andy Janovich","RB","117.3","11.6","4.81","12","31.4","6.01","2016","2022"
"Anthony McFarland","RB","108.2","","4.44","345","31.6","4.18","2020","2022"
"Antonio Gibson","RB","118.5","","4.39","173","30.9","3.02","2020","2022"
"Antonio Williams","RB","118.5","11.58","4.57","119","30.8","","2020","2022"
"Artavis Pierce","RB","108","11.6","4.52","174","29","","2020","2022"
"Austin Ekeler","RB","132.9","11.06","4.48","457","29.4","","2017","2022"
"Austin Walter","RB","105.2","11.41","4.59","236","30.4","","2019","2022"
"Avery Williams","RB","117.5","10.88","4.48","0","28.8","5.39","2021","2022"
"B.J. Catalon","RB","118.2","11.05","4.57","194","29.1","","2015","2022"
"Benny Snell","RB","109.7","11.4","4.66","386","32.1","4.2","2019","2022"
"Bo Scarbrough","RB","132.5","","4.52","149","30.1","7.18","2018","2022"
"Boston Scott","RB","126","10.82","4.45","233","30.5","6.27","2018","2022"
"Bralon Addison","RB","116.7","11.09","4.66","153","29.1","","2016","2022"
"Brandon Bolden","RB","124.1","11.35","4.66","290","30","","2012","2022"
"Brandon Burks","RB","122.9","11.06","4.61","280","30.7","","2016","2022"
"Brandon Wegher","RB","121.9","11.61","4.56","389","30.6","","2015","2022"
"Brandon Wilds","RB","121.1","11.41","4.54","182","29","","2016","2022"
"Braylon Heard","RB","109.9","11.59","4.63","119","28.4","","2015","2022"
"Breece Hall","RB","131","","4.39","439","30.3","2.04","2022","2022"
