"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"A.J. Derby","TE","","11.5","4.77","133","31","6.26","2015","","","76","255","","2022"
"Adam Shaheen","TE","117.4","11.47","4.79","364","32.1","2.13","2017","10.04","32.5","78","278","","2022"
"Adam Trautman","TE","117.4","11.05","4.8","381","30.2","3.41","2020","10.16","34.5","77","255","","2022"
"Alan Cross","TE","107.9","12.02","4.89","155","31.7","","2016","9.55","30.5","73","240","","2022"
"Albert Okwuegbunam","TE","","","4.49","283","29.8","4.12","2020","","","78","258","","2022"
"Alex Ellis","TE","120.9","11.24","4.84","32","30.8","","2016","10.03","34.5","76","253","","2022"
"Andrew Beck","TE","119","11.6","4.68","75","31.5","","2019","9.91","34","75","252","","2022"
"Anthony Firkser","TE","110.1","11.35","4.87","352","31.6","","2017","9.81","31.5","74","246","","2022"
"Antony Auclair","TE","117.1","11.67","4.95","120","30.4","","2017","9.97","33.5","77","256","","2022"
"Austin Hooper","TE","116.3","11.32","4.72","174","30.9","3.18","2016","10.07","33","76","254","","2022"
"Austin Traylor","TE","115.1","12.14","4.96","168","31.2","","2016","9.7","33.5","75","250","","2022"
"Beau Gardner","TE","130.8","11.6","4.79","172","29.2","","2015","10.16","41","76","240","","2022"
"Beau Sandland","TE","123.3","11.43","4.74","245","30.8","7.31","2016","10.12","35","76","253","","2022"
"Ben Braunecker","TE","122.6","11.1","4.73","306","31.2","","2016","10.15","35.5","75","250","","2022"
"Ben Ellefson","TE","","","4.87","153","31.1","","2020","","","75","249","","2022"
"Ben Koyack","TE","110.5","11.84","4.73","76","30.2","7.12","2015","9.81","30","77","255","","2022"
"Blake Bell","TE","115.8","11.17","4.8","158","29.1","4.18","2015","10.12","33","78","252","","2022"
"Blake Jarwin","TE","120.9","11.71","4.74","71","29.2","","2017","10.07","34.5","77","246","","2022"
"Braedon Bowman","TE","119.1","11.47","4.72","42","30","","2016","9.99","35.5","75","240","","2022"
"Brandon Dillon","TE","115.4","11.38","4.82","189","30.2","","2019","9.92","32.5","76","248","","2022"
"Braxton Deaver","TE","110.1","11.94","4.85","127","29.9","","2016","9.72","31.5","76","246","","2022"
"Brevin Jordan","TE","117.5","12.07","4.73","279","30.6","5.03","2021","9.83","34","75","245","","2022"
"Brian Parker","TE","126.9","11.43","4.8","199","31.6","","2015","10.19","38.5","76","260","","2022"
"Brock Wright","TE","114.1","11.56","4.71","22","31.3","","2021","9.93","31.5","76","257","","2022"
"Bronson Kaufusi","TE","108","11.28","4.87","0","32.9","3.07","2016","10.03","30","78","285","","2022"
"Bryce Williams","TE","107.1","11.72","4.94","182","29.7","","2016","9.81","29.5","78","257","","2022"
"Brycen Hopkins","TE","116.6","11.53","4.66","232","29.8","4.3","2020","10.01","33.5","76","245","","2022"
"C.J. Uzomah","TE","113.3","11.79","4.67","90","31.2","5.21","2015","9.92","31","77","263","","2022"
"Cade Otton","TE","","","","318","29","4.01","2022","","","77","245","","2022"
"Caleb Wilson","TE","107.3","11.6","4.56","323","29.2","7.4","2019","9.89","29","76","240","","2022"
"Cameron Brate","TE","117.1","11.64","4.82","197","27.9","","2014","9.92","33.5","77","235","","2022"
"Cameron Clear","TE","110","12","4.98","10","32.8","","2015","9.79","32","77","277","","2022"
"Casey Pierce","TE","122.9","11.19","4.82","312","30.5","","2015","10.08","36.5","75","244","","2022"
"Cethan Carter","TE","","","4.68","108","30.1","","2017","","","75","241","","2022"
"Charles Jones","TE","116.3","12.53","4.95","86","31.7","","2019","9.57","33","75","254","","2022"
"Charlie Kolar","TE","122.1","11.3","4.67","285","28.4","4.23","2022","10.31","35.5","79","252","","2022"
"Charlie Woerner","TE","120.4","11.64","4.78","55","28.9","6.11","2020","9.95","34.5","77","244","","2022"
"Chase Allen","TE","117.1","11.46","4.84","119","29","","2022","10.08","33.5","78","251","","2022"
"Chig Okonkwo","TE","120.6","11.64","4.52","157","31.2","4.38","2022","10.03","35.5","74","243","","2022"
"Chris Herndon","TE","117.5","11.97","4.77","180","30.8","4.07","2018","9.86","34","76","253","","2022"
"Chris Manhertz","TE","","","4.91","0","28.2","","2014","","","77","238","","2022"
"Chris Myarick","TE","114.9","11.63","4.9","51","30.5","","2019","9.89","32.5","76","251","","2022"
"Clive Walford","TE","121.3","11.89","4.79","239","30.5","3.04","2015","9.95","35","76","251","","2022"
"Codey McElroy","TE","","","4.74","203","29.8","","2018","","","78","258","","2022"
"Colby Parkinson","TE","111.4","11.61","4.77","187","28.4","4.27","2020","10.03","32.5","79","252","","2022"
"Cole Hikutini","TE","120.4","11.79","4.9","213","30.1","","2017","9.88","34.5","76","247","","2022"
"Cole Kmet","TE","126.3","11.85","4.7","208","31.9","2.11","2020","10.05","37","76","262","","2022"
