"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"A.J. Brown","WR","122.1","11.25","4.49","326","30.6","2.19","2019","10.07","36.5","72","226","80.9","2022"
"Aaron Fuller","WR","116.8","","4.59","256","26.2","","2020","","34","71","188","13.8","2022"
"Aaron Parker","WR","101.1","11.17","4.57","376","26.8","","2020","9.72","26.5","74","209","-99.9","2022"
"Adam Humphries","WR","116.3","11.28","4.58","94","27.2","","2015","9.74","32.5","71","195","70","2022"
"Adam Thielen","WR","121.2","11.26","4.54","459","25","","2013","10.1","36","75","200","-95","2022"
"Albert Wilson","WR","125.3","11.21","4.43","599","29.8","","2014","9.95","37.5","69","202","-48","2022"
"Aldrick Robinson","WR","131","10.74","4.43","402","26.4","6.13","2011","10.18","40","70","184","-13.5","2022"
"Alec Pierce","WR","133.4","11.33","4.41","252","26","2.21","2022","10.35","40.5","75","208","22.1","2022"
"Alex Bachman","WR","119.6","10.99","4.52","207","27.2","","2019","9.89","33","71","195","","2022"
"Alex Erickson","WR","116.7","10.78","4.59","279","26.4","","2016","10","34.5","72","195","","2022"
"Allen Hurns","WR","112.7","11.73","4.55","288","27","","2014","9.7","31","73","205","","2022"
"Allen Lazard","WR","125.6","11.44","4.55","331","28.1","","2018","10.14","38","75","225","38.4","2022"
"Allen Robinson","WR","129.8","11","4.56","379","28.2","2.29","2014","10.28","39","74","220","50.5","2022"
"Amari Cooper","WR","116.1","10.69","4.42","472","27.8","1.04","2015","10.14","33","73","211","99.9","2022"
"Amari Rodgers","WR","116.6","11.38","4.57","235","31.3","3.21","2021","9.68","33","69","212","88.9","2022"
"Amon-Ra St. Brown","WR","129","11.16","4.66","331","27.5","4.07","2021","9.98","38.5","71","197","47.1","2022"
"Andre Baccellia","WR","","","","157","25.1","","2020","","","70","175","","2022"
"Andre Roberts","WR","121.2","10.92","4.46","461","27.2","3.24","2010","10.08","36","71","195","","2022"
"Andy Isabella","WR","122.6","11.1","4.31","522","27.8","2.3","2019","9.98","36.5","69","188","-95.2","2022"
"Anthony Miller","WR","128.8","10.91","4.55","399","28","2.19","2018","10.14","39","71","201","70.2","2022"
"Anthony Schwartz","WR","115.9","11.38","4.32","282","25.2","3.27","2021","9.9","32","72","186","25","2022"
"Antoine Wesley","WR","121.4","11.33","4.73","327","25.1","","2019","10.17","37","76","206","42.6","2022"
"Antonio Callaway","WR","118.3","11.33","4.41","0","27.9","4.05","2018","9.9","34","71","200","53.7","2022"
"Ashton Dulin","WR","125.1","11.22","4.43","609","28.4","","2019","10.22","38","73","215","-99.9","2022"
"Auden Tate","WR","108.7","11.95","4.68","374","27","7.35","2018","9.8","31","77","228","5","2022"
"Austin Mack","WR","112.1","","4.59","112","26.7","","2020","","31.5","74","208","","2022"
"Austin Trammell","WR","131","10.88","4.67","0","25.2","","2021","10.03","40","71","181","","2022"
"Ben Skowronek","WR","","","4.62","289","28.2","7.21","2021","","","74","220","55.1","2022"
"Binjimen Victor","WR","123.5","","4.6","188","24.1","","2020","","35","76","198","","2022"
"Brandin Cooks","WR","121.2","10.57","4.33","389","27.1","1.2","2014","10.21","36","70","189","6.3","2022"
"Brandon Aiyuk","WR","132","","4.5","406","27.8","1.25","2020","","40","72","205","10.5","2022"
"Brandon Johnson","WR","117.5","12.14","4.66","332","25","","2022","9.76","35","74","195","","2022"
"Brandon Powell","WR","111.9","11.03","4.64","253","27.5","","2018","9.66","32","68","181","","2022"
"Brandon Zylstra","WR","123.2","","4.64","386","27.5","","2016","","36","74","214","","2022"
"Braxton Berrios","WR","116.2","10.9","4.49","281","27.2","6.36","2018","9.88","36","69","184","-33.6","2022"
"Braylon Sanders","WR","119.2","11.21","4.48","203","26.3","","2022","9.97","34.5","72","194","81.4","2022"
"Breshad Perriman","WR","125.6","","4.3","366","27.2","1.26","2015","","36.5","74","212","56.3","2022"
"Britain Covey","WR","113.4","10.82","4.55","307","26.3","","2022","9.69","32","68","173","","2022"
"Bryan Edwards","WR","","","4.53","484","26.5","3.17","2020","","","75","212","8.8","2022"
"Byron Pringle","WR","117","11.27","4.46","377","27","","2018","9.95","33.5","73","205","","2022"
"C.J. Board","WR","131.5","10.73","4.47","234","23.9","","2017","10.3","38.5","73","181","","2022"
"Cade Johnson","WR","116.5","","4.56","439","26.4","","2021","","35","70","184","-52.1","2022"
"Calvin Ridley","WR","107.7","11.29","4.43","301","24.9","1.26","2018","9.86","31","73","189","99.9","2022"
"Cam Sims","WR","119.3","12.06","4.64","56","25.8","","2018","9.86","34","76","212","","2022"
"Cameron Batson","WR","128.3","10.69","4.4","135","26.6","","2018","10.09","39","68","175","","2022"
"Cedrick Wilson","WR","123.4","11.12","4.55","355","24.1","6.34","2018","10.13","37","74","188","52.4","2022"
"CeeDee Lamb","WR","120.7","","4.5","381","25.4","1.17","2020","","34.5","74","198","99.9","2022"
"Chad Beebe","WR","113.8","11.06","4.73","111","25.5","","2018","9.65","32.5","70","178","","2022"
"Chase Claypool","WR","131.9","","4.42","334","29","2.17","2020","","40.5","76","238","45.2","2022"
"Chester Rogers","WR","121.2","10.92","4.56","241","25.1","","2016","10.04","36","72","185","","2022"
"Chosen Robbie Anderson","WR","126.1","11.34","4.41","348","23.7","","2016","10.08","36.5","75","190","0.4","2022"
"Chris Conley","WR","146","11.36","4.35","293","27.3","3.12","2015","10.51","45","74","213","95.3","2022"
"Chris Godwin","WR","124.2","11.01","4.42","349","27.6","3.2","2017","10.17","36","73","209","54.5","2022"
"Chris Lacy","WR","117","11.89","4.51","74","25.6","","2018","9.8","33.5","75","205","","2022"
"Chris Moore","WR","127.9","10.96","4.53","237","27.2","4.09","2016","10.21","37","73","206","-28.5","2022"
"Chris Olave","WR","116.4","","4.39","318","25.1","1.11","2022","","32","72","185","99.9","2022"
"Christian Blake","WR","121.7","11.23","4.56","165","24.3","","2018","9.91","34.5","72","179","","2022"
"Christian Kirk","WR","117.9","11.54","4.47","368","28.8","2.15","2018","9.78","35.5","70","201","69.2","2022"
"Christian Watson","WR","133.5","11.15","4.36","440","25.3","2.02","2022","10.37","38.5","76","208","-65.3","2022"
"Cody Core","WR","113.1","11.15","4.47","169","25.6","6.24","2016","9.98","31.5","75","205","40.8","2022"
"Cody Hollister","WR","","","","37","26.7","","2017","","","75","214","","2022"
"Cody Thompson","WR","125","10.9","4.57","266","27","","2019","10.2","38.5","73","205","36.3","2022"
"Cody White","WR","120.4","11.71","4.66","321","27.1","","2020","9.92","35.5","75","217","","2022"
"Cole Beasley","WR","127.6","11.56","4.54","224","26.9","","2012","9.72","38","68","177","-20","2022"
